	Дата	Единиц	Курс	 
	13.04.2019	1	72.8398	 
	11.04.2019	1	72.9460	 
	10.04.2019	1	72.9708	 
	9.04.2019	1	73.3617	 
	3.04.2019	1	73.3162	 
	2.04.2019	1	73.4967	 
	30.03.2019	1	72.7230	 
	29.03.2019	1	72.8884	 
	28.03.2019	1	72.7182	 
	27.03.2019	1	72.5808	 
	26.03.2019	1	72.9229	 
	23.03.2019	1	72.5900	 
	22.03.2019	1	72.7870	 
	20.03.2019	1	72.9995	 
	19.03.2019	1	73.3610	 
	16.03.2019	1	74.0686	 
	15.03.2019	1	74.0613	 
	14.03.2019	1	74.0237	 
	13.03.2019	1	74.0672	 
	12.03.2019	1	74.2896	 
	8.03.2019	1	74.5730	 
	7.03.2019	1	74.4158	 
	6.03.2019	1	74.5058	 
	5.03.2019	1	74.7438	 
	2.03.2019	1	74.8048	 
	1.03.2019	1	74.9691	 
	28.02.2019	1	74.8249	 
	27.02.2019	1	74.4898	 
	26.02.2019	1	74.0876	 
	23.02.2019	1	74.3332	 
	22.02.2019	1	74.2963	 
	16.02.2019	1	75.2492	 
	15.02.2019	1	75.0471	 
	14.02.2019	1	74.3872	 
	13.02.2019	1	74.1459	 
	12.02.2019	1	74.3243	 
	9.02.2019	1	74.8954	 
	8.02.2019	1	74.9656	 
	7.02.2019	1	74.7703	 
	6.02.2019	1	74.9127	 
	5.02.2019	1	75.0565	 
	2.02.2019	1	75.1480	 
	1.02.2019	1	75.2006	 
	31.01.2019	1	75.5706	 
	30.01.2019	1	75.8811	 
	26.01.2019	1	74.6312	 
	25.01.2019	1	75.0306	 
	24.01.2019	1	75.3861	 
	23.01.2019	1	75.5541	 
